Plot,Title,Year
"Hard rock idol Sammi Curr burns to death in a hotel fire. His biggest fan, Lakeridge High School student and resident metal head Eddie Weinbauer is devastated by the news and turns to local radio DJ ""Nuke"" for emotional support. After a heated discussion about the deceased rock star, Nuke presents Eddie with a rare demo record, the last ever recorded by Sammi and the only copy in existence. Overwhelmed by Nuke's generosity, Eddie accepts the gift without hesitation, unaware of it's dark role in things to come. After constant humiliation and a near drowning at the hands of school bully Tim Hainy and his sports jock friends, Eddie becomes enraged and vows revenge on all those who have wronged him, much to the dismay of love interest, Leslie and best friend, Roger. Alone in his room with feelings of rage and retribution racing through his mind, Eddie places the new record onto his stereo and is shocked to discover that he can communicate with the deceased rock star when it is rotated backwards. Playing upon both Eddie's loyalty and emotional vulnerability, Sammi instructs the teenager on how to get back at those who have caused him so much pain, instructions that the easily manipulated Eddie carries out, prompting the usual 'underdog gets his own back' results. At first it's all fun and games as Hainy and his cohorts get their just desserts, but when Hainy's girlfriend is nearly killed by supernatural forces, Eddie realizes that he is nothing more than a pawn in a much more sinister plot and wants out. When Eddie tries to destroy the record, an evil version of Sammi is resurrected (complete with supernatural powers) and goes on a rampage at the high school Halloween dance, turning Eddie's involvement with the devilish rock star into a spine tingling nightmare not only for the young headbanger, but for his school and hometown as well. Can Eddie stop the demonic Sammi before he sends the entire town straight to hell? One thing's for sure, the teenagers of Lakeridge High are in for a Halloween they'll never forget.",Trick or Treat,1986
"Harry and Archie are released from prison ready to collect their Social Security. How could they get into trouble at their age? Let's count the ways; A parole officer who is a famous criminal groupie, Dead end where people don't know they are dealing with dangerous, though older, criminals, a hit man who can barely see, but who still has an outstanding contract on them. Does anyone still rob trains?",Tough Guys,1986
"Three out of work silent movie actors are accidentally drawn to a Mexican village that is being harassed by a gang of outlaws. The three, 'Ned', 'Lucky Day' and 'Dusty Bottoms' play 'Lone Ranger' types in their movies, but must play their parts for real now.",¡Three Amigos!,1986
"Radio DJ Vanita 'Stretch' Brock's open request night is plagued by the annoying phone pranking of two road tripping, party-hard, hoodlums, but things take a disturbing turn when the hoodlums meet their demise at the hands of familiar chainsaw wielding maniacs. With the entire gruesome ordeal recorded on tape, Stretch seeks out the help of a former Texas Marshall who's on a personal quest of vengeance against this family of cannibals. While at first he turns her down, he eventually decides to use her tape to his advantage, asking her to air it during her request block- effectively baiting the cannibals to the radio station where he'll personally deal with them.",The Texas Chainsaw Massacre 2,1986
"The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew.",Star Trek IV: The Voyage Home,1986
"It's the summer of 1959 in Castlerock, Oregon and four 12 year-old boys - Gordie, Chris, Teddy and Vern - are fast friends. After learning of the general location of the body of a local boy who has been missing for several days, they set off into woods to see it. Along the way, they learn about themselves, the meaning of friendship and the need to stand up for what is right.",Stand by Me,1986
"Mark doesn't expect any problems in going to college: he and his friend have reserved places in Harvard and his parents have the money to pay for his education there. But suddenly his father's neurotic psychiatrist advises him to go on vacation in Hawaii instead of spending more money on his son. Since Mark wants to keep his lifestyle, including a fancy car and a flat shared with his friend, he seeks financial support. The only foundation which still accepts applications is for blacks only -- no problem, with lots of bronzing pills and ""soul in his voice"" he sets out to Harvard. Soon he has to realize that being black will cause some people to handle him differently.",Soul Man,1986
"Morbid biographical story of Sid Vicious, bassist with British punk group the Sex Pistols, and his girlfriend Nancy Spungen. When the Sex Pistols break up after their fateful US tour, Vicious attempts a solo career while in the grip of heroin addiction. One morning, Nancy is found stabbed to death and Sid is arrested for her murder.",Sid and Nancy,1986
"Sam Stone (Danny DeVito) is a clothing manufacturer, who married his wife Barbara (Bette Midler), for the money that she was supposed to inherit from her dying father, but her father didn't die for another fifteen years. He is now planning to kill her and he tells his girlfriend Carol Dodsworth (Anita Morris) what he is going to do. He then on his way home to do just that but when he gets there, she's not there. He then receives a call from someone claiming to have kidnapped Barbara and threatening to kill her if he informs the police, which he does hoping that they do. What Stone doesn't know is that the kidnappers, Ken (Judge Reinhold) and Sandy (Helen Slater) Kessler are a couple whose idea for a garment he stole and made fortune off, are not that lethal, as a matter of fact Barbara's more lethal. And what Stone doesn't know is that Carol, has another boyfriend named Earl Mott (Bill Pullman), and they plan to blackmail Sam, by videotaping him disposing of Barbara's body. When Earl goes there to do that, the person who goes there was not Sam but a man with a hooker (Jeannine Bisignano), and he instructs the hooker to scream her head off, Earl mistakenly believes that Barbara's not dead and that Sam was killing her there, and was so freaked out that he didn't bother to see if it was Sam. Carol tries to put her plan in operation by sending Sam a copy of the tape, Sam thinks that it's for something kinky that Carol wants and when Sam tells her that he is going to do what was done on the tape to her, she assumes that he is going to kill her. So she sends another copy of the tape to the Chief of Police (William G. Schilling), and tells him that she wants him to arrest Sam for murdering Barbara, and the Chief is happy to oblige cause he is the man who is on the tape. The Chief manages to find the instruments that Sam was going to use to kill Barbara and arrests him. Sam now has to get Barbara, alive, so that he can prove that he didn't kill her. And Barbara starts to bond with Sandy.",Ruthless People,1986
"Danny and Ray are two street wise cops in Chicago. When they are almost killed on a case, they are forced to take a vacation by their captain. Key West offers a substantial change over frozen Chicago. They decide to quit and open a bar in Key West. Upon returning, they find that Julio, the drug dealer who nearly killed them has made bail and is trying to complete a giant drug deal. They decide to complete their case against Julio before quitting, but then begin being careful. Their effectiveness drops as they find they can't operate the way they did before if they don't have the edge of a long time commitment.",Running Scared,1986
"When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",A Room with a View,1985
"Teenager Andie is one of the not-so-popular girls in high school. She usually hangs out with her friends Iona or Duckie. Duckie has always had a crush on her, but now she has met a new guy at school, Blane. He's one of the rich and popular guys but can the two worlds meet?",Pretty in Pink,1986
"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne; but the love of her family and the power of psychic Tangina once again unite, along with an elderly native American, to fight for her life.",Poltergeist II: The Other Side,1986
