Title,Year,Genres,Plot
Spring Breakers,2012,"Crime, Drama","Brit, Candy, Cotty, and Faith have been best friends since grade school. They live together in a boring college dorm and are hungry for adventure. All they have to do is save enough money for spring break to get their shot at having some real fun. A serendipitous encounter with rapper ""Alien"" promises to provide the girls with all the thrill and excitement they could hope for. With the encouragement of their new friend, it soon becomes unclear how far the girls are willing to go to experience a spring break they will never forget."
"McFarland, USA",2015,"Biography, Drama, Sport","A struggling coach and teacher who has had to move around for different incidents in his career finally comes to one of the poorest cities in America: McFarland, California. There he discovers buried potential in several high school boys and slowly turns them into championship runners and brings them closer than even he could ever imagine."
Inside Out,2015,"Animation, Adventure, Comedy","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school."
What Richard Did,2012,Drama,"What Richard Did follows Richard Karlsen, golden-boy athlete and undisputed alpha-male of his privileged set of South Dublin teenagers, through the summer between the end of school and the beginning of university. The world is bright and everything seems possible, until in one summer night Richard does something that destroys it all and shatters the lives of the people closest to him. What Richard Did is a quietly devastating study of a boy confronting the gap between who he thought he was and who he proves to be."
Promised Land,2012,Drama,"Corporate salesman Steve Butler (Matt Damon) arrives in a rural town with his sales partner, Sue Thomason (McDormand). With the town having been hit hard by the economic decline of recent years, the two outsiders see the local citizens as likely to accept their company's offer, for drilling rights to their properties, as much-needed relief. What seems like an easy job for the duo becomes complicated by the objection of a respected schoolteacher (Holbrook) with support from a grassroots campaign led by another man (Krasinski) who counters Steve both personally and professionally."
Call Me Kuchu,2012,"Documentary, Drama","In Uganda, a new bill threatens to make homosexuality punishable by death. David Kato - Uganda's first openly gay man - and his fellow activists work against the clock to defeat the legislation while combating vicious persecution in their daily lives. But no one, not even the filmmakers, is prepared for the brutal murder that shakes the movement to its core and sends shock waves around the world."
Room 237,2012,Documentary,"A subjective documentary that explores the numerous theories about the hidden meanings within 'Stanley Kubrick (I)' 's Kubrick''s film The Shining (1980). The film may be over 30 years old but it continues to inspire debate, speculation, and mystery. Five very different points of view are illuminated through voice over, film clips, animation and dramatic reenactments. Together they'll draw the audience into a new maze, one with endless detours and dead ends, many ways in, but no way out."
Upstream Color,2013,"Drama, Sci-Fi","Kris is attacked one night, and hypnotized, using a grub with hypnotic properties, administered by a thief. She follows the thief's instructions to give him everything, even taking out loans. After the worms are extracted, she wakes up to find her life ruined. She's lost her job, her finances are destroyed. Years later, she meets Jeff whom she may have a lot in common with."
The Imitation Game,2014,"Biography, Drama, History","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."
The Liability,2012,"Comedy, Crime, Thriller","When 19-year-old Adam agrees to do a day's driving for his mum's gangster boyfriend Peter, it takes him on a 24-hour journey into a nightmarish world of murder, sex trafficking and revenge, in the company of aging hit man Roy."
Steve Jobs,2015,"Biography, Drama","His passion and ingenuity have been the driving force behind the digital age. However his drive to revolutionize technology was sacrificial. Ultimately it affected his family life and possibly his health. In this revealing film we explore the trials and triumphs of a modern day genius, the late CEO of Apple inc. Steven Paul Jobs."
