Title,Year,Genres,Plot
God Bless America,2011,"Comedy, Crime, Drama","Loveless, jobless, possibly terminally ill, Frank has had enough of the downward spiral of America. With nothing left to lose, Frank takes his gun and offs the stupidest, cruelest, and most repellent members of society. He finds an unusual accomplice: 16-year-old Roxy, who shares his sense of rage and disenfranchisement."
Penguins of Madagascar,2014,"Animation, Adventure, Comedy","Super spy teams aren't born...they're hatched. Discover the secrets of the greatest and most hilarious covert birds in the global espionage biz: Skipper, Kowalski, Rico and Private. These elitists of the elite are joining forces with a chic undercover organization, The North Wind. Led by handsome and husky Agent Classified (we could tell you his name, but then...you know). Together, they must stop the villainous Dr. Octavius Brine, from destroying the world as we know it."
The Call,2013,"Crime, Thriller","Jordan Turner (Halle Berry) is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue, but then teenager Casey Welson (Abigail Breslin) is abducted and calls 911. Jordan is the one called upon to use all of her experience, insights and quick thinking to try to help Casey escape and also to make sure the man is brought to justice."
Flight,2012,"Drama, Thriller","Whip Whitaker is a commuter airline pilot. While on a flight from Orlando to Atlanta something goes wrong and the plane starts to fly erratically. With little choice Whip crashes the plane and saves almost all on board. When he wakes up in the hospital, his friend from the airline union introduces him to a lawyer who tells him there's a chance he could face criminal charges because his blood test reveals that he was intoxicated with alcohol and cocaine. He denies being impaired, so while an investigation is underway, he is told to keep his act together. However, letting go of his addiction is not as easy as it seems..."
The Human Centipede III (Final Sequence),2015,"Comedy, Horror","Bully prison warden Bill Boss, leading a big state prison in the US of A, has a lot of problems; his prison statistically has the highest amount of prison riots, medical costs and staff turnover in the country. But foremost he is unable to get the respect he thinks he deserves from his inmates and the state Governor. He constantly fails in experimenting with different ideas for the ideal punishment to get the inmates in line, which drives him, together with the sizzling heat, completely insane. Under threats of termination by the Governor, his loyal right hand man Dwight comes up with a brilliant idea. A revolutionary idea which could change the American prison system for good and save billions of dollars. An idea based on the notorious Human Centipede movies, that will literally and figuratively get the inmates on their knees, creating the ultimate punishment and deterrent for anyone considering a life of crime. Having nothing to lose, Bill and Dwight create a jaw-dropping 500-person prison centipede."
America's Most Hated Family in Crisis,2011,Documentary,"Louis returns to the Phelps family to find that several members have left the cult, and that they are being sued."
Maggie,2015,"Drama, Horror","After a couple of weeks seeking out his teenage daughter Maggie, Wade finds her in the quarantine wing of a hospital. Maggie has been infected by a lethal outbreak that transforms the victim into a zombie. Wade's friend Dr. Vern Kaplan releases Maggie to spend her last days with Wade and her family. Her stepmother Caroline asks Wade to take their little kids to her sister's house to keep them safe. While Maggie is slowly transformed, Wade stays with her protecting Maggie. But Dr. Vern warns him that the moment that he will have to take an ultimate decision is closer."
Date and Switch,2014,"Comedy, Drama, Romance",High school seniors Michael and Matty make a pact to help each other lose their virginity before their high school prom. Their plan hits a snag when Matty tells his best friend that he's gay. Michael's supportive but awkward attempts to help Matty fit in put a strain on their decade-long friendship. Their friendship is further tested when Michael falls for Matty's former girlfriend and Matty falls for a guy whom Michael wouldn't approve of. Prom looms and Michael and Matty have to repair their friendship and then figure out their love lives.
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi","In the future, the mutants and the humans that help them are slaughtered by powerful robots named Sentinels. Professor Xavier, Wolverine, Magneto, Storm, Kitty Pryde and her friends meet at a monastery in China and Xavier explains that the invincible Sentinels were created using the DNA of Mystique that was captured in 1973 when she tried to assassinate their creator Dr. Bolivar Trask. Xavier tells that their only chance is return to 1973 using Pryde's ability to join Charles Xavier and Erik Lehnsherr to convince Mystique to give up of her intention. . However, only Wolverine can withstand the damages of the time travel. Will he succeed in stopping Mystique and the Sentinel Program and save the mutants and their human friends from annihilation?"
The Knot,2012,"Comedy, Romance","Soulmates Alexandra (Talulah Riley) and Jeremy (Matthew McNulty) are getting married. At least that's the plan. Unfortunately for them, nonchalant best man Peter (Noel Clarke), bridesmaid Sarah (Mena Suvari) and an army of naysayers haven't heard they're meant to be together. Can missing bridesmaids, crashed cars, a trip to A&E, and a delivery of pigs testicles stand in the way of true love?"
Sparkle,2012,"Drama, Music","In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart."
Liberal Arts,2012,"Comedy, Drama, Romance","Thirty-five year old Jesse Fisher, an admissions officer at a New York City post-secondary institution he who loves English and literature, has somewhat lost his passion in life, which includes recently being unceremoniously dumped by his latest girlfriend, who could no longer be the person to prop him up emotionally. He has a chance to find that passion again when he is invited to the retirement dinner of his second favorite Ohio University college professor, Peter Hoberg, as his time there was when his life held the most passion. Jesse's encounters with five people there may determine if he does find that passion again. They are: Hoberg, who is resisting the notion of retirement; Judith Fairfield, Jesse's favorite professor, although for a different reason than his like of Hoberg; Nat, a free spirit who navigates life at the institution on his own terms; undergraduate student Dean, who Jesse sees as a younger more destructive version of himself; and nineteen year old undergraduate student Zibby, who is seemingly wise beyond her years and with who Jesse embarks on a relationship despite their sixteen year age difference."
The Judge,2014,"Crime, Drama","Hank Palmer is a successful defense attorney in Chicago, who is getting a divorce. When His brother calls with the news that their mother has died, Hank returns to his childhood home to attend the funeral. Despite the brittle bond between Hank and the Judge, Hank must come to his father's aid and defend him in court. Here, Hank discovers the truth behind the case, which binds together the dysfunctional family and reveals the struggles and secrecy of the family."
